RetailerID,Name,Type,Location
R001,"Palmer, Kirk and Young",Small Business,West Eric
R002,Howard Group,Small Business,Michelleside
R003,Nelson-Henderson,Restaurant,North Kimberly
R004,Duran-Mccarthy,Kirana,Timothyhaven
R005,Jones Group,Restaurant,Dennismouth
R006,Nguyen Group,Restaurant,Port Linda
R007,Chase Ltd,Restaurant,Michaelshire
R008,Baker Ltd,Small Business,Chloeville
R009,"James, Perkins and Calderon",Small Business,New Kyleton
R010,Brown LLC,Restaurant,West Michael
R011,Flores-Williams,Kirana,New Amy
R012,"Wyatt, Harris and Martin",Kirana,Petersonville
R013,"Nunez, Padilla and Smith",Restaurant,Hudsonbury
R014,"White, Beck and Clark",Small Business,Kerrmouth
R015,Fuller Ltd,Restaurant,Williamfurt
R016,"Barnes, Morgan and Meyer",Kirana,Boothstad
R017,"Lamb, Johnson and Jackson",Kirana,Ryanville
R018,Wilson LLC,Small Business,Mitchellberg
R019,Pratt-Smith,Restaurant,South Jamie
R020,Flores-Kent,Small Business,Andreafurt
